# kotlin-shim/jdk-allowlist.tsv — every java/** class and member the Kotlin
# shim and the Kotlin fixture apps (examples/langsuite_kt, later
# examples/picoenvmon_kt) reference, one `owner<TAB>name<TAB>desc` row each.
# A row with empty name/desc allows the class itself (new / checkcast /
# instanceof / anewarray / super / interface / catch_type / indy SAM).
#
# Checked in two directions (docs/designs/kotlin-roadmap-2026-08.md Session 5):
#   :kotlin-shim:contractCheck  — a reference with no row fails the build and
#                                 prints the missing rows, ready to paste;
#   picodroid-core test         — every owner here must be a pico-jvm builtin,
#     `jdk_allowlist_owners_are_served`   a BUILTIN_SUPER / BUILTIN_INTERFACES
#                                 name, or an SDK java/** class, so a row
#                                 cannot name a class the JVM does not serve.
# A row only says the JVM *knows the class*; whether it serves the exact
# member is proven by langsuite / langsuite_kt in the sim (the rustdoc table
# in jvm/src/native/mod.rs lists the arms).
#
# Seeded from the Session 1 dumps (tools/kotlin-survey: fixture + Java
# picoenvmon baseline) and the Sessions 3-4 additions; keep sorted by owner.
#
# Rows that are known NOT to be served at run time but appear in every
# kotlinc-compiled class of their kind (the check is static):
#   java/lang/Enum.valueOf(Class,String) — every Kotlin enum's synthetic
#   valueOf(String) calls it; unsupported (compatibility matrix), never called
#   by the demos.
java/io/IOException		
java/io/IOException	<init>	(Ljava/lang/String;)V
java/io/IOException	getMessage	()Ljava/lang/String;
java/lang/Appendable		
java/lang/Appendable	append	(C)Ljava/lang/Appendable;
java/lang/ArithmeticException		
java/lang/ArithmeticException	<init>	(Ljava/lang/String;)V
java/lang/ArrayIndexOutOfBoundsException		
java/lang/Boolean		
java/lang/Boolean	booleanValue	()Z
java/lang/Boolean	hashCode	(Z)I
java/lang/Boolean	parseBoolean	(Ljava/lang/String;)Z
java/lang/Boolean	valueOf	(Z)Ljava/lang/Boolean;
java/lang/Byte		
java/lang/Byte	byteValue	()B
java/lang/Byte	valueOf	(B)Ljava/lang/Byte;
java/lang/CharSequence		
java/lang/CharSequence	charAt	(I)C
java/lang/CharSequence	length	()I
java/lang/CharSequence	toString	()Ljava/lang/String;
java/lang/Character		
java/lang/Character	charValue	()C
java/lang/Character	hashCode	(C)I
java/lang/Character	isDigit	(C)Z
java/lang/Character	isLetter	(C)Z
java/lang/Character	toLowerCase	(C)C
java/lang/Character	toUpperCase	(C)C
java/lang/Character	valueOf	(C)Ljava/lang/Character;
java/lang/Class		
java/lang/Class	getName	()Ljava/lang/String;
java/lang/ClassCastException		
java/lang/Cloneable		
java/lang/Comparable		
java/lang/Comparable	compareTo	(Ljava/lang/Object;)I
java/lang/Double		
java/lang/Double	compare	(DD)I
java/lang/Double	doubleValue	()D
java/lang/Double	hashCode	(D)I
java/lang/Double	parseDouble	(Ljava/lang/String;)D
java/lang/Double	valueOf	(D)Ljava/lang/Double;
java/lang/Enum		
java/lang/Enum	<init>	(Ljava/lang/String;I)V
java/lang/Enum	compareTo	(Ljava/lang/Enum;)I
java/lang/Enum	equals	(Ljava/lang/Object;)Z
java/lang/Enum	hashCode	()I
java/lang/Enum	name	()Ljava/lang/String;
java/lang/Enum	ordinal	()I
java/lang/Enum	toString	()Ljava/lang/String;
java/lang/Enum	valueOf	(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Enum;
java/lang/Error		
java/lang/Error	<init>	()V
java/lang/Error	<init>	(Ljava/lang/String;)V
java/lang/Error	getMessage	()Ljava/lang/String;
java/lang/Exception		
java/lang/Exception	<init>	()V
java/lang/Exception	<init>	(Ljava/lang/String;)V
java/lang/Exception	getMessage	()Ljava/lang/String;
java/lang/Float		
java/lang/Float	compare	(FF)I
java/lang/Float	floatValue	()F
java/lang/Float	hashCode	(F)I
java/lang/Float	parseFloat	(Ljava/lang/String;)F
java/lang/Float	valueOf	(F)Ljava/lang/Float;
java/lang/IllegalArgumentException		
java/lang/IllegalArgumentException	<init>	()V
java/lang/IllegalArgumentException	<init>	(Ljava/lang/String;)V
java/lang/IllegalArgumentException	getMessage	()Ljava/lang/String;
java/lang/IllegalStateException		
java/lang/IllegalStateException	<init>	()V
java/lang/IllegalStateException	<init>	(Ljava/lang/String;)V
java/lang/IllegalStateException	getMessage	()Ljava/lang/String;
java/lang/IndexOutOfBoundsException		
java/lang/IndexOutOfBoundsException	<init>	(Ljava/lang/String;)V
java/lang/Integer		
java/lang/Integer	hashCode	(I)I
java/lang/Integer	intValue	()I
java/lang/Integer	parseInt	(Ljava/lang/String;)I
java/lang/Integer	toString	(I)Ljava/lang/String;
java/lang/Integer	valueOf	(I)Ljava/lang/Integer;
java/lang/Iterable		
java/lang/Iterable	iterator	()Ljava/util/Iterator;
java/lang/Long		
java/lang/Long	hashCode	(J)I
java/lang/Long	longValue	()J
java/lang/Long	parseLong	(Ljava/lang/String;)J
java/lang/Long	valueOf	(J)Ljava/lang/Long;
java/lang/Math		
java/lang/Math	abs	(D)D
java/lang/Math	abs	(F)F
java/lang/Math	abs	(I)I
java/lang/Math	abs	(J)J
java/lang/Math	atan2	(DD)D
java/lang/Math	ceil	(D)D
java/lang/Math	cos	(D)D
